direction,exp2_variant,source_exp2_variant,target_exp2_variant,setting,metric,value_mean,value_std,seed_count
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,top8_event_recall,0.55,0.2091650066335189,5
Exp2_to_Exp1,Median5,Median5,Raw,V35_SlowResidual_OnlineAdaptation,unmatched_candidate_count,0.8,0.8366600265340756,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,adapter_frozen_fraction,1.0,0.0,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,adapter_update_fraction,0.0,0.0,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,boundary_hit_rate_250,0.7,0.2091650066335189,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,candidate_event_count,24.0,12.144957801491119,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,event_f1,0.2507843137254902,0.1587824390752677,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,event_precision,0.15665170195658001,0.10802769427439954,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,mean_absolute_detection_delay,121.25226221024782,35.93483457921603,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,top8_event_recall,0.9,0.13693063937629152,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_CalibrationOnly,unmatched_candidate_count,21.2,12.891857895586655,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,adapter_frozen_fraction,0.06816512740625347,0.05962907108662447,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,adapter_update_fraction,0.9318348725937465,0.05962907108662445,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,boundary_hit_rate_250,0.55,0.2091650066335189,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,candidate_event_count,3.0,1.5811388300841898,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,event_f1,0.6109523809523809,0.13379596609845032,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,event_precision,0.8033333333333333,0.18723128893311494,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,mean_absolute_detection_delay,92.76463537142237,22.319562480471706,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,top8_event_recall,0.55,0.2091650066335189,5
Exp2_to_Exp1,Raw,Raw,Raw,V35_SlowResidual_OnlineAdaptation,unmatched_candidate_count,0.8,0.8366600265340756,5
