direction,setting,seed,tolerance_actual_cycles,dataset,from_stage,to_stage,boundary_cycle,boundary_actual_cycle,event_id,event_peak_cycle,event_peak_actual_cycle,peak_score,absolute_detection_delay,match_status,exp2_variant,source_exp2_variant,target_exp2_variant
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,1.0,2.0,3005.0,5500.0,3.0,3040.5,5559.166666666667,1.7209789969300904,59.16666666666697,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,,,,,1.0,1530.5,3046.2631491344873,3.035446731442464,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,,,,,2.0,1895.5,3653.6649467376833,0.7355557174626545,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,,,,,4.0,7000.5,12159.166666666666,1.5940845082896815,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,1.0,2.0,3005.0,5500.0,2.0,3025.5,5534.166666666667,7.994855479612623,34.16666666666697,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,3.0,4.0,8705.0,15000.0,5.0,8715.5,15017.5,9.50785925923233,17.5,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,4.0,5.0,11705.0,20000.0,14.0,11750.5,20075.991649269312,5.925918092918916,75.99164926931189,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,1.0,1530.5,3046.2631491344873,1.4001541737293386,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,3.0,6950.5,12075.833333333334,3.4220860944712044,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,4.0,7275.5,12617.5,1.8345208239156776,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,6.0,9315.5,16017.5,13.9476903779461,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,7.0,9630.5,16542.5,6.562175850855356,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,8.0,9910.5,17009.166666666668,16.573837276020306,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,9.0,10230.5,17542.5,13.799461781060584,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,10.0,10530.5,18042.5,16.69257303394689,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,11.0,10830.5,18542.5,11.9069918731148,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,12.0,11150.5,19075.833333333332,8.710646602512561,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,,,,,13.0,11430.5,19542.5,10.81381752079947,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,1.0,2.0,3005.0,5500.0,1.0,3070.5,5609.166666666667,4.560311471357404,109.16666666666697,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,,,,,2.0,6930.5,12042.5,4.882687238908609,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,,,,,3.0,10230.5,17542.5,3.0188831036801083,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,250.0,Exp2,,,,,4.0,10540.5,18059.166666666668,4.848822741318847,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,3.0,4.0,8705.0,15000.0,2.0,8750.5,15075.833333333334,0.7886881656152164,75.83333333333394,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,4.0,5.0,11705.0,20000.0,11.0,11750.5,20075.991649269312,0.8500354724664874,75.99164926931189,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,1.0,6955.5,12084.166666666666,1.4955799228510394,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,3.0,9320.5,16025.833333333334,1.73041670858144,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,4.0,9650.5,16575.833333333332,1.240793559203537,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,5.0,9930.5,17042.5,2.3502346023559517,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,6.0,10230.5,17542.5,2.1277207402726006,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,7.0,10530.5,18042.5,2.651436995931141,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,8.0,10850.5,18575.833333333332,1.3386863879036766,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,9.0,11130.5,19042.5,1.5536151803483405,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,250.0,Exp2,,,,,10.0,11430.5,19542.5,1.160797267858526,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,250.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,250.0,Exp2,,,,,1.0,965.5,2106.03844873502,0.6573061026890646,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,250.0,Exp2,,,,,2.0,1540.5,3062.904294274301,1.0787833967228209,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,3.0,4.0,8705.0,15000.0,2.0,8715.5,15017.5,1.062598610585678,17.5,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,4.0,5.0,11705.0,20000.0,9.0,11800.5,20159.498956158663,1.4497407633215444,159.49895615866262,MATCHED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,1.0,6920.5,12025.833333333334,1.525651804503083,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,3.0,9615.5,16517.5,1.627913647200867,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,4.0,9930.5,17042.5,1.64156339274472,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,5.0,10230.5,17542.5,1.5167379675410362,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,6.0,10545.5,18067.5,2.586561673574403,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,7.0,10885.5,18634.166666666668,1.467837100983343,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,250.0,Exp2,,,,,8.0,11130.5,19042.5,1.897075260282728,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,250.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,250.0,Exp2,,,,,1.0,1535.5,3054.583721704394,1.7407507288640298,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,250.0,Exp2,,,,,2.0,1830.5,3545.4975033288947,1.1625019431726396,,unmatched_candidate_event,Raw,Raw,Raw
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,1.0,2.0,3005.0,5500.0,2.0,3080.5,5625.833333333333,1.7576812294257427,125.83333333333303,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,3.0,4.0,8705.0,15000.0,4.0,8715.5,15017.5,3.0317259379023667,17.5,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,4.0,5.0,11705.0,20000.0,13.0,11800.5,20159.498956158663,1.2367816026278673,159.49895615866262,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,1.0,1555.5,3087.8660119840215,0.8752812627638348,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,3.0,6995.5,12150.833333333334,1.5182437198188388,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,5.0,9315.5,16017.5,2.5656104317783113,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,6.0,9615.5,16517.5,1.8294496146906556,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,7.0,9930.5,17042.5,3.0566332262257605,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,8.0,10230.5,17542.5,2.024402407312643,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,9.0,10530.5,18042.5,3.1459893203511315,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,10.0,10830.5,18542.5,2.4367353689021223,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,11.0,11180.5,19125.833333333332,2.192702020849385,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,250.0,Exp2,,,,,12.0,11430.5,19542.5,2.7569099798038876,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,1.0,2.0,3005.0,5500.0,3.0,3100.5,5659.166666666667,2.319286432171575,159.16666666666697,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,,,,,1.0,1535.5,3054.583721704394,1.2229874169932182,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,,,,,2.0,1840.5,3562.138648468708,0.8297887100341572,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,250.0,Exp2,,,,,4.0,6955.5,12084.166666666666,1.1343972433317342,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,1.0,2.0,3005.0,5500.0,1.0,3045.5,5567.5,2.3709885245972853,67.5,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,3.0,4.0,8705.0,15000.0,4.0,8725.5,15034.166666666666,2.522052281881506,34.16666666666606,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,4.0,5.0,11705.0,20000.0,13.0,11750.5,20075.991649269312,4.483713354212619,75.99164926931189,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,2.0,7005.5,12167.5,2.9550555459928374,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,3.0,7235.5,12550.833333333334,1.126424967567395,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,5.0,9320.5,16025.833333333334,5.366992036034607,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,6.0,9615.5,16517.5,3.015117035021046,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,7.0,9930.5,17042.5,7.269092674501966,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,8.0,10230.5,17542.5,3.743068045157472,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,9.0,10530.5,18042.5,9.791253179402968,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,10.0,10830.5,18542.5,5.387934097346923,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,11.0,11130.5,19042.5,5.116115573988135,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,250.0,Exp2,,,,,12.0,11430.5,19542.5,7.469371417610158,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,1.0,2.0,3005.0,5500.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,3.0,4.0,8705.0,15000.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,4.0,5.0,11705.0,20000.0,,,,,,MISSED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,,,,,1.0,1530.5,3046.2631491344873,2.2510981950690754,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,250.0,Exp2,,,,,2.0,7000.5,12159.166666666666,1.1817965126619112,,unmatched_candidate_event,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,1.0,2.0,3005.0,5500.0,2.0,3025.5,5534.166666666667,5.612552559636585,34.16666666666697,MATCHED,Median5,Raw,Median5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,250.0,Exp2,2.0,3.0,6005.0,10500.0,,,,,,MISSED,Median5,Raw,Median5
