direction,setting,seed,dataset,from_stage,to_stage,boundary_actual_cycle,boundary_peak_score,boundary_score_percentile,boundary_event_rank,exp2_variant,source_exp2_variant,target_exp2_variant,event_rank,top8_hit,match_status,hit_250,event_id,event_peak_cycle,event_peak_actual_cycle,peak_score,absolute_detection_delay,matched_event_delay_actual_cycles
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,2,3,10500.0,0.5388822354876022,0.7965786537746374,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,3,4,15000.0,0.7886881656152164,0.8356266269988843,11.0,Raw,Raw,Raw,11.0,0,MATCHED,1,2.0,8750.5,15075.833333333334,0.7886881656152164,75.83333333333394,75.83333333333394
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,4,5,20000.0,1.5536151803483405,0.991074748977315,5.0,Raw,Raw,Raw,5.0,1,MATCHED,1,11.0,11750.5,20075.991649269312,0.8500354724664874,75.99164926931189,75.99164926931189
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,1,2,5500.0,0.4775657257963039,0.9642989959092599,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,2,3,10500.0,0.248267576098442,0.5429527705466716,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,3,4,15000.0,0.2518350183963775,0.6876162142060246,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,4,5,20000.0,0.2583650648593902,0.8058757902566009,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,1,2,5500.0,0.9373658167107088,0.8330234287839345,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,2,3,10500.0,0.9664509101846614,0.8359985124581629,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,3,4,15000.0,1.062598610585678,0.8586835254741539,9.0,Raw,Raw,Raw,9.0,0,MATCHED,1,2.0,8715.5,15017.5,1.062598610585678,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,4,5,20000.0,1.897075260282728,0.9947936035701004,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,9.0,11800.5,20159.498956158663,1.4497407633215444,159.49895615866262,159.49895615866262
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,1,2,5500.0,0.9125858785784204,0.9698772777984381,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,2,3,10500.0,0.2757956683635711,0.7965786537746374,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,3,4,15000.0,0.2731005943515829,0.7292673856452213,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,4,5,20000.0,0.2751032412052154,0.7831907772406099,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,1,2,5500.0,2.626712568569186,0.9843808107103013,10.0,Median5,Raw,Median5,10.0,0,MATCHED,1,2.0,3080.5,5625.833333333333,1.7576812294257427,125.83333333333303,125.83333333333303
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,2,3,10500.0,2.6434828293877577,0.9854964670881369,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,3,4,15000.0,3.236416709420959,0.9936779471922648,3.0,Median5,Raw,Median5,3.0,1,MATCHED,1,4.0,8715.5,15017.5,3.0317259379023667,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3401,Exp2,4,5,20000.0,2.7569099798038876,0.9869840089252511,4.0,Median5,Raw,Median5,4.0,1,MATCHED,1,13.0,11800.5,20159.498956158663,1.2367816026278673,159.49895615866262,159.49895615866262
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,1,2,5500.0,3.089232564690389,1.0,1.0,Median5,Raw,Median5,1.0,1,MATCHED,1,3.0,3100.5,5659.166666666667,2.319286432171575,159.16666666666697,159.16666666666697
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,2,3,10500.0,0.2592698633670807,0.7950911119375232,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,3,4,15000.0,0.24083814024925232,0.5634064708069915,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3401,Exp2,4,5,20000.0,0.2508384883403778,0.7024916325771662,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,1,2,5500.0,4.239339080803208,0.9680178505020454,12.0,Median5,Raw,Median5,12.0,0,MATCHED,1,1.0,3045.5,5567.5,2.3709885245972853,67.5,67.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,2,3,10500.0,4.354172683044697,0.9773149869840089,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,3,4,15000.0,3.1534538667606578,0.845667534399405,11.0,Median5,Raw,Median5,11.0,0,MATCHED,1,4.0,8725.5,15034.166666666666,2.522052281881506,34.16666666666606,34.16666666666606
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3402,Exp2,4,5,20000.0,7.469371417610158,0.9973968017850502,2.0,Median5,Raw,Median5,2.0,1,MATCHED,1,13.0,11750.5,20075.991649269312,4.483713354212619,75.99164926931189,75.99164926931189
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,1,2,5500.0,4.2019449992930875,1.0,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,2,3,10500.0,0.24747717380523682,0.7761249535143175,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,3,4,15000.0,0.24623702466487885,0.7586463369282261,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3402,Exp2,4,5,20000.0,0.37240334038451617,0.8166604685756786,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,1,2,5500.0,6.396963964481009,0.9442171811082186,9.0,Median5,Raw,Median5,9.0,0,MATCHED,1,2.0,3025.5,5534.166666666667,5.612552559636585,34.16666666666697,34.16666666666697
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,2,3,10500.0,4.150338330001778,0.8144291558200074,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,3,4,15000.0,6.648070823969995,0.9486798066195612,7.0,Median5,Raw,Median5,7.0,1,MATCHED,1,5.0,8715.5,15017.5,6.45934403602336,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3403,Exp2,4,5,20000.0,7.41171337479574,0.9576050576422462,6.0,Median5,Raw,Median5,6.0,1,MATCHED,1,14.0,11750.5,20075.991649269312,4.046344218324342,75.99164926931189,75.99164926931189
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,1,2,5500.0,4.429627349693992,1.0,3.0,Median5,Raw,Median5,3.0,1,MATCHED,1,1.0,3070.5,5609.166666666667,3.2480898543554817,109.16666666666697,109.16666666666697
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,2,3,10500.0,0.5427560852504691,0.5634064708069915,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,3,4,15000.0,1.6835247655581917,0.9074005206396429,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3403,Exp2,4,5,20000.0,2.1047638956228543,0.9326887318705839,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,1,2,5500.0,0.6047713867244783,0.810710301227222,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,2,3,10500.0,0.5425484113672796,0.7962067683153589,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,3,4,15000.0,0.8111656787982624,0.8460394198586835,11.0,Median5,Raw,Median5,11.0,0,MATCHED,1,2.0,8750.5,15075.833333333334,0.8111656787982624,75.83333333333394,75.83333333333394
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3404,Exp2,4,5,20000.0,1.544059958806752,0.991074748977315,5.0,Median5,Raw,Median5,5.0,1,MATCHED,1,11.0,11750.5,20075.991649269312,0.8551173487383742,75.99164926931189,75.99164926931189
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,1,2,5500.0,0.4688807473985305,0.9814057270360729,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,2,3,10500.0,0.24974770843982697,0.5942729639271105,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,3,4,15000.0,0.25285282731056213,0.7114168835998512,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3404,Exp2,4,5,20000.0,0.2586475610733032,0.8293045741911491,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,1,2,5500.0,0.9477819319246743,0.832651543324656,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,2,3,10500.0,0.9708078250239188,0.8397173670509483,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,3,4,15000.0,1.052598928787865,0.8627742655262179,9.0,Median5,Raw,Median5,9.0,0,MATCHED,1,2.0,8715.5,15017.5,1.052598928787865,17.5,17.5
Exp1_to_Exp2,V35_SlowResidual_CalibrationOnly,3405,Exp2,4,5,20000.0,1.8328205054828766,0.9947936035701004,2.0,Median5,Raw,Median5,2.0,1,MATCHED,1,9.0,11795.5,20151.14822546973,1.4852165909703499,151.14822546972937,151.14822546972937
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,1,2,5500.0,0.8134854028778417,0.969133506879881,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,2,3,10500.0,0.27690768241882324,0.7679434734101896,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,3,4,15000.0,0.2875859280509648,0.7854220899962812,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp1_to_Exp2,V35_SlowResidual_OnlineAdaptation,3405,Exp2,4,5,20000.0,0.27511051297187805,0.7500929713648197,,Median5,Raw,Median5,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3401,Exp1,1,2,8000.0,7.178358161638377,0.9690664292867476,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,2.0,7600.5,8030.110701107011,6.262536290573623,30.110701107010755,30.110701107010755
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3401,Exp1,2,3,24000.0,4.149172226994636,0.9336819850895738,6.0,Raw,Raw,Raw,6.0,1,MATCHED,1,8.0,21190.5,24078.034251675355,4.016485721805597,78.03425167535534,78.03425167535534
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3401,Exp1,3,4,32000.0,6.779272737483605,0.9617224880382775,4.0,Raw,Raw,Raw,4.0,1,MATCHED,1,9.0,27870.5,32036.094674556214,6.779272737483605,36.09467455621416,36.09467455621416
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3401,Exp1,4,5,40000.0,14.367035705596596,0.9855346611772561,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,10.0,34690.5,40107.05186533212,13.19500828065012,107.05186533211963,107.05186533211963
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3401,Exp1,1,2,8000.0,2.7012197478124715,1.0,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3401,Exp1,2,3,24000.0,1.049635606450939,0.9796372538110604,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,1.0,21155.5,24036.33655994043,1.049635606450939,36.33655994043147,36.33655994043147
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3401,Exp1,3,4,32000.0,1.6049339900876234,0.9967731167241571,1.0,Raw,Raw,Raw,1.0,1,MATCHED,1,2.0,27945.5,32124.852071005917,1.5380802255105277,124.85207100591651,124.85207100591651
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3401,Exp1,4,5,40000.0,0.1770552098751068,0.4704573272504729,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3402,Exp1,1,2,8000.0,8.13437980830161,0.9554912651607878,4.0,Raw,Raw,Raw,4.0,1,MATCHED,1,2.0,7605.5,8036.014760147602,4.108480706389604,36.01476014760192,36.01476014760192
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3402,Exp1,2,3,24000.0,6.241291048911762,0.9410259263380438,6.0,Raw,Raw,Raw,6.0,1,MATCHED,1,9.0,21275.5,24179.300074460163,5.788330571520162,179.30007446016316,179.30007446016316
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3402,Exp1,3,4,32000.0,10.949450263148304,0.9692889729609436,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,13.0,27955.5,32136.686390532544,10.949450263148304,136.68639053254446,136.68639053254446
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3402,Exp1,4,5,40000.0,18.41973597549457,0.9848670301546678,2.0,Raw,Raw,Raw,2.0,1,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3402,Exp1,1,2,8000.0,1.5909577489087146,1.0,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3402,Exp1,2,3,24000.0,0.3360867049666464,0.981862690553021,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3402,Exp1,3,4,32000.0,0.9069033022930308,0.9949927673305886,1.0,Raw,Raw,Raw,1.0,1,MATCHED,1,1.0,27945.5,32124.852071005917,0.8424026848144387,124.85207100591651,124.85207100591651
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3402,Exp1,4,5,40000.0,0.1851400136947631,0.711694670079003,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3403,Exp1,1,2,8000.0,4.763171440281225,0.967286079893179,4.0,Raw,Raw,Raw,4.0,1,MATCHED,1,2.0,7690.5,8136.383763837638,4.763171440281225,136.38376383763807,136.38376383763807
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3403,Exp1,2,3,24000.0,2.262172531566668,0.9192166462668299,11.0,Raw,Raw,Raw,11.0,0,MATCHED,1,5.0,21215.5,24107.818317200297,1.3806016302753057,107.81831720029732,107.81831720029732
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3403,Exp1,3,4,32000.0,5.495546000917263,0.9742962056303549,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,7.0,27950.5,32130.76923076923,5.495546000917263,130.7692307692305,130.7692307692305
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3403,Exp1,4,5,40000.0,9.687428102608257,0.98531211750306,2.0,Raw,Raw,Raw,2.0,1,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3403,Exp1,1,2,8000.0,1.4823375221558912,1.0,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3403,Exp1,2,3,24000.0,0.962391965654676,0.9945476799821965,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,1.0,21215.5,24107.818317200297,0.962391965654676,107.81831720029732,107.81831720029732
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3403,Exp1,3,4,32000.0,1.3833155370902444,0.999888728162902,1.0,Raw,Raw,Raw,1.0,1,MATCHED,1,2.0,27930.5,32107.100591715975,1.3833155370902444,107.10059171597459,107.10059171597459
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3403,Exp1,4,5,40000.0,0.189515471458435,0.8244130410593079,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3404,Exp1,1,2,8000.0,22.498091945981216,0.9638366529431401,4.0,Raw,Raw,Raw,4.0,1,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3404,Exp1,2,3,24000.0,21.312153394854658,0.9618337598753756,5.0,Raw,Raw,Raw,5.0,1,MATCHED,1,13.0,21265.5,24167.386448250185,20.86903296928895,167.3864482501849,167.3864482501849
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3404,Exp1,3,4,32000.0,35.85982500780362,0.9786358072771781,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,18.0,27955.5,32136.686390532544,35.85982500780362,136.68639053254446,136.68639053254446
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3404,Exp1,4,5,40000.0,52.23230036657722,0.9857572048514521,2.0,Raw,Raw,Raw,2.0,1,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3404,Exp1,1,2,8000.0,11.200117180225792,1.0,1.0,Raw,Raw,Raw,1.0,1,MATCHED,1,1.0,7685.5,8130.479704797048,10.611806644684384,130.47970479704782,130.47970479704782
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3404,Exp1,2,3,24000.0,1.912872145141369,0.956158896183376,4.0,Raw,Raw,Raw,4.0,1,MATCHED,1,2.0,21140.5,24018.466120625464,1.856744398576244,18.4661206254641,18.4661206254641
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3404,Exp1,3,4,32000.0,0.7532041894444914,0.919995549126516,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3404,Exp1,4,5,40000.0,1.957011417737564,0.9572716145543563,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,3.0,34665.5,40077.47952684258,1.957011417737564,77.47952684258053,77.47952684258053
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3405,Exp1,1,2,8000.0,35.57833412499554,0.9677311672415712,3.0,Raw,Raw,Raw,3.0,1,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3405,Exp1,2,3,24000.0,26.785110240524467,0.9558250806720819,4.0,Raw,Raw,Raw,4.0,1,MATCHED,1,21.0,21265.5,24167.386448250185,26.785110240524467,167.3864482501849,167.3864482501849
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3405,Exp1,3,4,32000.0,45.84011510588459,0.97796817625459,2.0,Raw,Raw,Raw,2.0,1,MATCHED,1,34.0,27950.5,32130.76923076923,45.84011510588459,130.7692307692305,130.7692307692305
Exp2_to_Exp1,V35_SlowResidual_CalibrationOnly,3405,Exp1,4,5,40000.0,69.94918040680733,0.9855346611772561,33.0,Raw,Raw,Raw,33.0,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3405,Exp1,1,2,8000.0,19.434774858485067,1.0,1.0,Raw,Raw,Raw,1.0,1,MATCHED,1,1.0,7685.5,8130.479704797048,17.505619295232567,130.47970479704782,130.47970479704782
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3405,Exp1,2,3,24000.0,1.7591541970367257,0.8877267163680872,,Raw,Raw,Raw,,0,MISSED,0,,,,,,
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3405,Exp1,3,4,32000.0,1.9355749552462795,0.8929564927116946,5.0,Raw,Raw,Raw,5.0,1,MATCHED,1,3.0,27900.5,32071.597633136094,1.9355749552462795,71.59763313609437,71.59763313609437
Exp2_to_Exp1,V35_SlowResidual_OnlineAdaptation,3405,Exp1,4,5,40000.0,4.031061076589288,0.9411371981751419,3.0,Raw,Raw,Raw,3.0,1,MATCHED,1,4.0,34620.5,40024.24931756142,4.031061076589288,24.249317561421776,24.249317561421776
