window_index,event_type,reason,state,freeze_until_window,details,direction_id,source_dataset,target_dataset,model
618,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,718,"{""final_logit"": 1.90942200847811}",Exp1_to_Exp2,Exp1,Exp2,R5
638,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,738,"{""final_logit"": 1.9705703047698684}",Exp1_to_Exp2,Exp1,Exp2,R5
658,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,758,"{""final_logit"": 2.195884157011337}",Exp1_to_Exp2,Exp1,Exp2,R5
678,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,778,"{""final_logit"": 2.3674421228540767}",Exp1_to_Exp2,Exp1,Exp2,R5
718,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,818,"{""final_logit"": 2.5352263302108318}",Exp1_to_Exp2,Exp1,Exp2,R5
738,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,838,"{""final_logit"": 2.7918651528528007}",Exp1_to_Exp2,Exp1,Exp2,R5
758,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,858,"{""final_logit"": 2.693113505400237}",Exp1_to_Exp2,Exp1,Exp2,R5
778,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,878,"{""final_logit"": 2.7541194265454263}",Exp1_to_Exp2,Exp1,Exp2,R5
800,CHECKPOINT,periodic,RESTART_GUARD,878,{},Exp1_to_Exp2,Exp1,Exp2,R5
838,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,938,"{""final_logit"": 1.677947274508669}",Exp1_to_Exp2,Exp1,Exp2,R5
858,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,958,"{""final_logit"": 2.1038905290272663}",Exp1_to_Exp2,Exp1,Exp2,R5
878,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,978,"{""final_logit"": 2.2497193373287185}",Exp1_to_Exp2,Exp1,Exp2,R5
918,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1018,"{""final_logit"": 1.6921214294255482}",Exp1_to_Exp2,Exp1,Exp2,R5
945,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1045,"{""final_logit"": 1.6400466444143762}",Exp1_to_Exp2,Exp1,Exp2,R5
1000,CHECKPOINT,periodic,RESTART_GUARD,1045,{},Exp1_to_Exp2,Exp1,Exp2,R5
1018,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1118,"{""final_logit"": 1.8000961521178866}",Exp1_to_Exp2,Exp1,Exp2,R5
1038,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1138,"{""final_logit"": 1.9324698987437927}",Exp1_to_Exp2,Exp1,Exp2,R5
1058,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1158,"{""final_logit"": 1.7290952321710924}",Exp1_to_Exp2,Exp1,Exp2,R5
1078,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1178,"{""final_logit"": 1.675348883757387}",Exp1_to_Exp2,Exp1,Exp2,R5
1118,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1218,"{""final_logit"": 1.7734400037054596}",Exp1_to_Exp2,Exp1,Exp2,R5
1138,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1238,"{""final_logit"": 2.5228293026325677}",Exp1_to_Exp2,Exp1,Exp2,R5
1158,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1258,"{""final_logit"": 2.51030562412184}",Exp1_to_Exp2,Exp1,Exp2,R5
1178,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1278,"{""final_logit"": 2.226912940149939}",Exp1_to_Exp2,Exp1,Exp2,R5
1200,CHECKPOINT,periodic,RESTART_GUARD,1278,{},Exp1_to_Exp2,Exp1,Exp2,R5
1349,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.5, 0.51], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.5, 0.51], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1350,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.51, 0.52], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.51, 0.52], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1351,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.52, 0.53], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.52, 0.53], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1352,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.53, 0.54], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.53, 0.54], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1353,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.54, 0.55], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.54, 0.55], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1354,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.55, 0.56], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.55, 0.56], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1355,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.56, 0.5700000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.56, 0.5700000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1356,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.5700000000000001, 0.5800000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.5700000000000001, 0.5800000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1357,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.5800000000000001, 0.5900000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.5800000000000001, 0.5900000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1358,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.5900000000000001, 0.6000000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.5900000000000001, 0.6000000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1359,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6000000000000001, 0.6100000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6000000000000001, 0.6100000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1360,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6100000000000001, 0.6200000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6100000000000001, 0.6200000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1361,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6200000000000001, 0.6300000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6200000000000001, 0.6300000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1362,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6300000000000001, 0.6400000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6300000000000001, 0.6400000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1363,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6400000000000001, 0.6500000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6400000000000001, 0.6500000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1364,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6500000000000001, 0.6600000000000001], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6500000000000001, 0.6600000000000001], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1365,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6600000000000001, 0.6700000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6600000000000001, 0.6700000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1366,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6700000000000002, 0.6800000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6700000000000002, 0.6800000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1367,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6800000000000002, 0.6900000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6800000000000002, 0.6900000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1368,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.6900000000000002, 0.7000000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.6900000000000002, 0.7000000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1369,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7000000000000002, 0.7100000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7000000000000002, 0.7100000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1370,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7100000000000002, 0.7200000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7100000000000002, 0.7200000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1371,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7200000000000002, 0.7300000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7200000000000002, 0.7300000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1372,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7300000000000002, 0.7400000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7300000000000002, 0.7400000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1373,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7400000000000002, 0.7500000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7400000000000002, 0.7500000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1374,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7500000000000002, 0.7600000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7500000000000002, 0.7600000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1375,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7600000000000002, 0.7700000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7600000000000002, 0.7700000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1376,UPDATE,safe_run,ACTIVE_UPDATE,1278,"{""reliability_changes"": {""rs_absmean"": [1.0, 1.0], ""rs_corrdist_base"": [0.7700000000000002, 0.7800000000000002], ""rs_mean"": [1.0, 1.0], ""rs_q05"": [1.0, 1.0], ""rs_rms"": [1.0, 1.0], ""rx_absmean"": [1.0, 1.0], ""rx_corrdist_base"": [0.7700000000000002, 0.7800000000000002], ""rx_mean"": [1.0, 1.0], ""rx_q05"": [1.0, 1.0], ""ry_p2p"": [1.0, 1.0]}}",Exp1_to_Exp2,Exp1,Exp2,R5
1378,ENTER_STATE,HIGH_RISK,FROZEN_RISK,1478,"{""final_logit"": 1.6361569122500996}",Exp1_to_Exp2,Exp1,Exp2,R5
1400,CHECKPOINT,periodic,RESTART_GUARD,1478,{},Exp1_to_Exp2,Exp1,Exp2,R5
1418,EXTEND_FREEZE,SUSTAINED_RS,RESTART_GUARD,1518,"{""RS50"": 0.03147372390986014}",Exp1_to_Exp2,Exp1,Exp2,R5
1438,EXTEND_FREEZE,SUSTAINED_RS,RESTART_GUARD,1538,"{""RS50"": 0.028172935280548303}",Exp1_to_Exp2,Exp1,Exp2,R5
1600,CHECKPOINT,periodic,RESTART_GUARD,1538,{},Exp1_to_Exp2,Exp1,Exp2,R5
1619,ENTER_STATE,HIGH_RISK,FROZEN_RISK,1719,"{""final_logit"": 1.8552925735827883}",Exp1_to_Exp2,Exp1,Exp2,R5
1644,EXTEND_FREEZE,SUSTAINED_RS,FROZEN_RISK,1744,"{""RS50"": 0.010183337438139288}",Exp1_to_Exp2,Exp1,Exp2,R5
1664,EXTEND_FREEZE,SUSTAINED_RS,FROZEN_RISK,1764,"{""RS50"": 0.014150704860187427}",Exp1_to_Exp2,Exp1,Exp2,R5
1684,EXTEND_FREEZE,HIGH_RISK,FROZEN_RISK,1784,"{""final_logit"": 1.6986138144848797}",Exp1_to_Exp2,Exp1,Exp2,R5
1718,EXTEND_FREEZE,SUSTAINED_RS,RESTART_GUARD,1818,"{""RS50"": 0.013993871344695548}",Exp1_to_Exp2,Exp1,Exp2,R5
1738,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1838,"{""final_logit"": 2.5940005855265342}",Exp1_to_Exp2,Exp1,Exp2,R5
1758,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1858,"{""final_logit"": 2.6949549499957257}",Exp1_to_Exp2,Exp1,Exp2,R5
1778,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1878,"{""final_logit"": 2.492623066415661}",Exp1_to_Exp2,Exp1,Exp2,R5
1800,CHECKPOINT,periodic,RESTART_GUARD,1878,{},Exp1_to_Exp2,Exp1,Exp2,R5
1818,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1918,"{""final_logit"": 2.0619622391992642}",Exp1_to_Exp2,Exp1,Exp2,R5
1838,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1938,"{""final_logit"": 2.5084134086754983}",Exp1_to_Exp2,Exp1,Exp2,R5
1858,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1958,"{""final_logit"": 3.3338177042266466}",Exp1_to_Exp2,Exp1,Exp2,R5
1878,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,1978,"{""final_logit"": 3.224064806573378}",Exp1_to_Exp2,Exp1,Exp2,R5
1918,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2018,"{""final_logit"": 4.283399156128801}",Exp1_to_Exp2,Exp1,Exp2,R5
1938,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2038,"{""final_logit"": 3.5600192277705434}",Exp1_to_Exp2,Exp1,Exp2,R5
1958,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2058,"{""final_logit"": 3.7726502460368785}",Exp1_to_Exp2,Exp1,Exp2,R5
1978,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2078,"{""final_logit"": 4.4105076301156005}",Exp1_to_Exp2,Exp1,Exp2,R5
2000,CHECKPOINT,periodic,RESTART_GUARD,2078,{},Exp1_to_Exp2,Exp1,Exp2,R5
2018,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2118,"{""final_logit"": 3.0835942730615713}",Exp1_to_Exp2,Exp1,Exp2,R5
2038,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2138,"{""final_logit"": 4.09792334807955}",Exp1_to_Exp2,Exp1,Exp2,R5
2058,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2158,"{""final_logit"": 3.6784265621545487}",Exp1_to_Exp2,Exp1,Exp2,R5
2078,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2178,"{""final_logit"": 3.6600825292351216}",Exp1_to_Exp2,Exp1,Exp2,R5
2118,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2218,"{""final_logit"": 2.889852379753534}",Exp1_to_Exp2,Exp1,Exp2,R5
2138,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2238,"{""final_logit"": 2.4463882546855573}",Exp1_to_Exp2,Exp1,Exp2,R5
2158,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2258,"{""final_logit"": 3.48006568913393}",Exp1_to_Exp2,Exp1,Exp2,R5
2178,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2278,"{""final_logit"": 2.8888923134512403}",Exp1_to_Exp2,Exp1,Exp2,R5
2200,CHECKPOINT,periodic,RESTART_GUARD,2278,{},Exp1_to_Exp2,Exp1,Exp2,R5
2218,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2318,"{""final_logit"": 2.961071458675062}",Exp1_to_Exp2,Exp1,Exp2,R5
2238,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2338,"{""final_logit"": 1.853498951722639}",Exp1_to_Exp2,Exp1,Exp2,R5
2258,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2358,"{""final_logit"": 1.646596958077191}",Exp1_to_Exp2,Exp1,Exp2,R5
2278,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2378,"{""final_logit"": 2.3474309126764523}",Exp1_to_Exp2,Exp1,Exp2,R5
2318,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2418,"{""final_logit"": 2.295118891933225}",Exp1_to_Exp2,Exp1,Exp2,R5
2338,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2438,"{""final_logit"": 3.3374019424689756}",Exp1_to_Exp2,Exp1,Exp2,R5
2358,EXTEND_FREEZE,HIGH_RISK,RESTART_GUARD,2458,"{""final_logit"": 4.286341086113505}",Exp1_to_Exp2,Exp1,Exp2,R5
