dataset,event_cycle,event_type,nearest_group_boundary_cycle,nearest_group_boundary_distance,within_boundary_guard,audit_only
Exp1,27385.5,TRANSITION_to_TEMPORARY_DISTURBANCE,27840.0,454.5,0,1
Exp1,27415.5,TEMPORARY_DISTURBANCE_to_STABLE,27840.0,424.5,0,1
Exp1,27850.5,STABLE_to_TRANSITION,27840.0,10.5,1,1
Exp1,28005.5,TRANSITION_to_TEMPORARY_DISTURBANCE,27840.0,165.5,1,1
Exp1,28035.5,TEMPORARY_DISTURBANCE_to_STABLE,27840.0,195.5,1,1
Exp1,29110.5,STABLE_to_TRANSITION,27840.0,1270.5,0,1
Exp1,29205.5,TRANSITION_to_TEMPORARY_DISTURBANCE,27840.0,1365.5,0,1
Exp1,29235.5,TEMPORARY_DISTURBANCE_to_STABLE,27840.0,1395.5,0,1
Exp1,32475.5,STABLE_to_TRANSITION,34600.0,2124.5,0,1
Exp1,32490.5,TRANSITION_to_TEMPORARY_DISTURBANCE,34600.0,2109.5,0,1
Exp1,32520.5,TEMPORARY_DISTURBANCE_to_STABLE,34600.0,2079.5,0,1
Exp1,34615.5,STABLE_to_TRANSITION,34600.0,15.5,1,1
Exp1,35000.5,TRANSITION_to_NEW_STABLE,34600.0,400.5,0,1
Exp1,35080.5,NEW_STABLE_to_STABLE,34600.0,480.5,0,1
Exp1,35880.5,STABLE_to_TRANSITION,34600.0,1280.5,0,1
Exp1,35910.5,TRANSITION_to_TEMPORARY_DISTURBANCE,34600.0,1310.5,0,1
Exp1,35940.5,TEMPORARY_DISTURBANCE_to_STABLE,34600.0,1340.5,0,1
Exp1,35965.5,STABLE_to_TRANSITION,34600.0,1365.5,0,1
Exp1,35980.5,TRANSITION_to_TEMPORARY_DISTURBANCE,34600.0,1380.5,0,1
Exp1,36010.5,TEMPORARY_DISTURBANCE_to_STABLE,34600.0,1410.5,0,1
Exp1,39135.5,STABLE_to_TRANSITION,34600.0,4535.5,0,1
Exp1,39245.5,TRANSITION_to_TEMPORARY_DISTURBANCE,34600.0,4645.5,0,1
Exp1,39275.5,TEMPORARY_DISTURBANCE_to_STABLE,34600.0,4675.5,0,1
Exp1,41380.5,STABLE_to_TRANSITION,45590.0,4209.5,0,1
Exp1,41525.5,TRANSITION_to_TEMPORARY_DISTURBANCE,45590.0,4064.5,0,1
Exp1,41555.5,TEMPORARY_DISTURBANCE_to_STABLE,45590.0,4034.5,0,1
Exp1,41640.5,STABLE_to_TRANSITION,45590.0,3949.5,0,1
Exp1,41775.5,TRANSITION_to_NEW_STABLE,45590.0,3814.5,0,1
Exp1,41855.5,NEW_STABLE_to_STABLE,45590.0,3734.5,0,1
Exp2,350.5,STABLE_to_TRANSITION,1.0,349.5,0,1
Exp2,395.5,TRANSITION_to_TEMPORARY_DISTURBANCE,1.0,394.5,0,1
Exp2,425.5,TEMPORARY_DISTURBANCE_to_STABLE,1.0,424.5,0,1
Exp2,625.5,STABLE_to_TRANSITION,1.0,624.5,0,1
Exp2,840.5,TRANSITION_to_NEW_STABLE,1.0,839.5,0,1
Exp2,920.5,NEW_STABLE_to_STABLE,1.0,919.5,0,1
Exp2,945.5,STABLE_to_TRANSITION,1.0,944.5,0,1
Exp2,1030.5,TRANSITION_to_TEMPORARY_DISTURBANCE,1.0,1029.5,0,1
Exp2,1060.5,TEMPORARY_DISTURBANCE_to_STABLE,1.0,1059.5,0,1
Exp2,1220.5,STABLE_to_TRANSITION,1.0,1219.5,0,1
Exp2,1300.5,TRANSITION_to_TEMPORARY_DISTURBANCE,1.0,1299.5,0,1
Exp2,1330.5,TEMPORARY_DISTURBANCE_to_STABLE,1.0,1329.5,0,1
Exp2,1520.5,STABLE_to_TRANSITION,3005.0,1484.5,0,1
Exp2,1620.5,TRANSITION_to_TEMPORARY_DISTURBANCE,3005.0,1384.5,0,1
Exp2,1650.5,TEMPORARY_DISTURBANCE_to_STABLE,3005.0,1354.5,0,1
Exp2,1820.5,STABLE_to_TRANSITION,3005.0,1184.5,0,1
Exp2,1900.5,TRANSITION_to_TEMPORARY_DISTURBANCE,3005.0,1104.5,0,1
Exp2,1930.5,TEMPORARY_DISTURBANCE_to_STABLE,3005.0,1074.5,0,1
Exp2,2125.5,STABLE_to_TRANSITION,3005.0,879.5,0,1
Exp2,2535.5,TRANSITION_to_NEW_STABLE,3005.0,469.5,0,1
Exp2,2615.5,NEW_STABLE_to_STABLE,3005.0,389.5,0,1
Exp2,2725.5,STABLE_to_TRANSITION,3005.0,279.5,0,1
Exp2,2800.5,TRANSITION_to_TEMPORARY_DISTURBANCE,3005.0,204.5,1,1
Exp2,2830.5,TEMPORARY_DISTURBANCE_to_STABLE,3005.0,174.5,1,1
Exp2,2855.5,STABLE_to_TRANSITION,3005.0,149.5,1,1
Exp2,2875.5,TRANSITION_to_TEMPORARY_DISTURBANCE,3005.0,129.5,1,1
Exp2,2905.5,TEMPORARY_DISTURBANCE_to_STABLE,3005.0,99.5,1,1
Exp2,2930.5,STABLE_to_TRANSITION,3005.0,74.5,1,1
Exp2,3100.5,TRANSITION_to_TEMPORARY_DISTURBANCE,3005.0,95.5,1,1
Exp2,3130.5,TEMPORARY_DISTURBANCE_to_STABLE,3005.0,125.5,1,1
Exp2,3275.5,STABLE_to_TRANSITION,3005.0,270.5,0,1
Exp2,3520.5,TRANSITION_to_NEW_STABLE,3005.0,515.5,0,1
Exp2,3600.5,NEW_STABLE_to_STABLE,3005.0,595.5,0,1
Exp2,3630.5,STABLE_to_TRANSITION,3005.0,625.5,0,1
Exp2,3725.5,TRANSITION_to_TEMPORARY_DISTURBANCE,3005.0,720.5,0,1
Exp2,3755.5,TEMPORARY_DISTURBANCE_to_STABLE,3005.0,750.5,0,1
Exp2,3920.5,STABLE_to_TRANSITION,3005.0,915.5,0,1
Exp2,4640.5,TRANSITION_to_NEW_STABLE,6005.0,1364.5,0,1
Exp2,4720.5,NEW_STABLE_to_STABLE,6005.0,1284.5,0,1
Exp2,5120.5,STABLE_to_TRANSITION,6005.0,884.5,0,1
Exp2,5530.5,TRANSITION_to_NEW_STABLE,6005.0,474.5,0,1
Exp2,5610.5,NEW_STABLE_to_STABLE,6005.0,394.5,0,1
Exp2,5720.5,STABLE_to_TRANSITION,6005.0,284.5,0,1
Exp2,5900.5,TRANSITION_to_TEMPORARY_DISTURBANCE,6005.0,104.5,1,1
Exp2,5930.5,TEMPORARY_DISTURBANCE_to_STABLE,6005.0,74.5,1,1
Exp2,6325.5,STABLE_to_TRANSITION,6005.0,320.5,0,1
Exp2,6825.5,TRANSITION_to_NEW_STABLE,6005.0,820.5,0,1
Exp2,6905.5,NEW_STABLE_to_STABLE,6005.0,900.5,0,1
Exp2,6930.5,STABLE_to_TRANSITION,6005.0,925.5,0,1
Exp2,7665.5,TRANSITION_to_NEW_STABLE,8705.0,1039.5,0,1
Exp2,7745.5,NEW_STABLE_to_STABLE,8705.0,959.5,0,1
Exp2,7820.5,STABLE_to_TRANSITION,8705.0,884.5,0,1
Exp2,7925.5,TRANSITION_to_TEMPORARY_DISTURBANCE,8705.0,779.5,0,1
Exp2,7955.5,TEMPORARY_DISTURBANCE_to_STABLE,8705.0,749.5,0,1
Exp2,8075.5,STABLE_to_TRANSITION,8705.0,629.5,0,1
Exp2,8200.5,TRANSITION_to_TEMPORARY_DISTURBANCE,8705.0,504.5,0,1
Exp2,8230.5,TEMPORARY_DISTURBANCE_to_STABLE,8705.0,474.5,0,1
Exp2,8420.5,STABLE_to_TRANSITION,8705.0,284.5,0,1
Exp2,8595.5,TRANSITION_to_TEMPORARY_DISTURBANCE,8705.0,109.5,1,1
Exp2,8625.5,TEMPORARY_DISTURBANCE_to_STABLE,8705.0,79.5,1,1
Exp2,8730.5,STABLE_to_TRANSITION,8705.0,25.5,1,1
Exp2,8795.5,TRANSITION_to_TEMPORARY_DISTURBANCE,8705.0,90.5,1,1
Exp2,8825.5,TEMPORARY_DISTURBANCE_to_STABLE,8705.0,120.5,1,1
Exp2,9570.5,STABLE_to_TRANSITION,8705.0,865.5,0,1
Exp2,9695.5,TRANSITION_to_TEMPORARY_DISTURBANCE,8705.0,990.5,0,1
Exp2,9725.5,TEMPORARY_DISTURBANCE_to_STABLE,8705.0,1020.5,0,1
Exp2,9870.5,STABLE_to_TRANSITION,8705.0,1165.5,0,1
Exp2,10020.5,TRANSITION_to_TEMPORARY_DISTURBANCE,8705.0,1315.5,0,1
Exp2,10050.5,TEMPORARY_DISTURBANCE_to_STABLE,8705.0,1345.5,0,1
Exp2,10220.5,STABLE_to_TRANSITION,11705.0,1484.5,0,1
Exp2,10390.5,TRANSITION_to_TEMPORARY_DISTURBANCE,11705.0,1314.5,0,1
Exp2,10420.5,TEMPORARY_DISTURBANCE_to_STABLE,11705.0,1284.5,0,1
Exp2,10520.5,STABLE_to_TRANSITION,11705.0,1184.5,0,1
Exp2,10595.5,TRANSITION_to_TEMPORARY_DISTURBANCE,11705.0,1109.5,0,1
Exp2,10625.5,TEMPORARY_DISTURBANCE_to_STABLE,11705.0,1079.5,0,1
Exp2,10820.5,STABLE_to_TRANSITION,11705.0,884.5,0,1
Exp2,10895.5,TRANSITION_to_TEMPORARY_DISTURBANCE,11705.0,809.5,0,1
Exp2,10925.5,TEMPORARY_DISTURBANCE_to_STABLE,11705.0,779.5,0,1
Exp2,11125.5,STABLE_to_TRANSITION,11705.0,579.5,0,1
Exp2,11995.5,TRANSITION_to_NEW_STABLE,11705.0,290.5,0,1
Exp2,12075.5,NEW_STABLE_to_STABLE,11705.0,370.5,0,1
Exp2,12625.5,STABLE_to_TRANSITION,11705.0,920.5,0,1
Exp2,12820.5,TRANSITION_to_TEMPORARY_DISTURBANCE,11705.0,1115.5,0,1
Exp2,12850.5,TEMPORARY_DISTURBANCE_to_STABLE,11705.0,1145.5,0,1
Exp2,13225.5,STABLE_to_TRANSITION,14100.0,874.5,0,1
Exp2,13295.5,TRANSITION_to_TEMPORARY_DISTURBANCE,14100.0,804.5,0,1
Exp2,13325.5,TEMPORARY_DISTURBANCE_to_STABLE,14100.0,774.5,0,1
