dataset,descriptor_scaler_mode,input_index,cycle,from_state,to_state,local_state_id,state_start_cycle,reason,state_reuse_action,reuse_distance,nearest_local_state_id,model_divergence_in_change_evidence
Exp1,frozen_descriptor_scaler,4500,22510.5,TRANSITION,TEMPORARY_DISTURBANCE,3,22375.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,4506,22540.5,TEMPORARY_DISTURBANCE,STABLE,3,22375.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,5230,26160.5,STABLE,TRANSITION,3,26140.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,5238,26200.5,TRANSITION,TEMPORARY_DISTURBANCE,3,26140.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,5244,26230.5,TEMPORARY_DISTURBANCE,STABLE,3,26140.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,5463,27325.5,STABLE,TRANSITION,3,27305.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,5475,27385.5,TRANSITION,TEMPORARY_DISTURBANCE,3,27305.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,5481,27415.5,TEMPORARY_DISTURBANCE,STABLE,3,27305.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,5568,27850.5,STABLE,TRANSITION,3,27830.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,5599,28005.5,TRANSITION,TEMPORARY_DISTURBANCE,3,27830.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,5605,28035.5,TEMPORARY_DISTURBANCE,STABLE,3,27830.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,5820,29110.5,STABLE,TRANSITION,3,29090.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,5839,29205.5,TRANSITION,TEMPORARY_DISTURBANCE,3,29090.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,5845,29235.5,TEMPORARY_DISTURBANCE,STABLE,3,29090.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,6493,32475.5,STABLE,TRANSITION,3,32455.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,6496,32490.5,TRANSITION,TEMPORARY_DISTURBANCE,3,32455.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,6502,32520.5,TEMPORARY_DISTURBANCE,STABLE,3,32455.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,6921,34615.5,STABLE,TRANSITION,3,34595.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,6998,35000.5,TRANSITION,NEW_STABLE,4,34595.5,persistent_new_distribution_created,created,4.820134277631933,3.0,0
Exp1,frozen_descriptor_scaler,7014,35080.5,NEW_STABLE,STABLE,4,34595.5,new_state_confirmed,,,,0
Exp1,frozen_descriptor_scaler,7174,35880.5,STABLE,TRANSITION,4,35860.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,7180,35910.5,TRANSITION,TEMPORARY_DISTURBANCE,4,35860.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,7186,35940.5,TEMPORARY_DISTURBANCE,STABLE,4,35860.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,7191,35965.5,STABLE,TRANSITION,4,35945.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,7194,35980.5,TRANSITION,TEMPORARY_DISTURBANCE,4,35945.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,7200,36010.5,TEMPORARY_DISTURBANCE,STABLE,4,35945.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,7825,39135.5,STABLE,TRANSITION,4,39115.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,7847,39245.5,TRANSITION,TEMPORARY_DISTURBANCE,4,39115.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,7853,39275.5,TEMPORARY_DISTURBANCE,STABLE,4,39115.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,8274,41380.5,STABLE,TRANSITION,4,41360.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,8303,41525.5,TRANSITION,TEMPORARY_DISTURBANCE,4,41360.5,short_change_returned_to_anchor,,,,0
Exp1,frozen_descriptor_scaler,8309,41555.5,TEMPORARY_DISTURBANCE,STABLE,4,41360.5,temporary_disturbance_recovered,,,,0
Exp1,frozen_descriptor_scaler,8326,41640.5,STABLE,TRANSITION,4,41620.5,persistent_change_evidence,,,,0
Exp1,frozen_descriptor_scaler,8353,41775.5,TRANSITION,NEW_STABLE,5,41620.5,persistent_new_distribution_created,created,16.33220981133907,4.0,0
Exp1,frozen_descriptor_scaler,8369,41855.5,NEW_STABLE,STABLE,5,41620.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,68,350.5,STABLE,TRANSITION,1,330.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,77,395.5,TRANSITION,TEMPORARY_DISTURBANCE,1,330.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,83,425.5,TEMPORARY_DISTURBANCE,STABLE,1,330.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,123,625.5,STABLE,TRANSITION,1,605.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,166,840.5,TRANSITION,NEW_STABLE,2,605.5,persistent_new_distribution_created,created,9.95199353673292,1.0,0
Exp2,frozen_descriptor_scaler,182,920.5,NEW_STABLE,STABLE,2,605.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,187,945.5,STABLE,TRANSITION,2,925.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,204,1030.5,TRANSITION,TEMPORARY_DISTURBANCE,2,925.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,210,1060.5,TEMPORARY_DISTURBANCE,STABLE,2,925.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,242,1220.5,STABLE,TRANSITION,2,1200.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,258,1300.5,TRANSITION,TEMPORARY_DISTURBANCE,2,1200.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,264,1330.5,TEMPORARY_DISTURBANCE,STABLE,2,1200.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,302,1520.5,STABLE,TRANSITION,2,1500.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,322,1620.5,TRANSITION,TEMPORARY_DISTURBANCE,2,1500.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,328,1650.5,TEMPORARY_DISTURBANCE,STABLE,2,1500.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,362,1820.5,STABLE,TRANSITION,2,1800.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,378,1900.5,TRANSITION,TEMPORARY_DISTURBANCE,2,1800.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,384,1930.5,TEMPORARY_DISTURBANCE,STABLE,2,1800.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,423,2125.5,STABLE,TRANSITION,2,2105.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,505,2535.5,TRANSITION,NEW_STABLE,2,2105.5,persistent_new_distribution_reused,reused,1.319036020321026,2.0,0
Exp2,frozen_descriptor_scaler,521,2615.5,NEW_STABLE,STABLE,2,2105.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,543,2725.5,STABLE,TRANSITION,2,2705.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,558,2800.5,TRANSITION,TEMPORARY_DISTURBANCE,2,2705.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,564,2830.5,TEMPORARY_DISTURBANCE,STABLE,2,2705.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,569,2855.5,STABLE,TRANSITION,2,2835.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,573,2875.5,TRANSITION,TEMPORARY_DISTURBANCE,2,2835.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,579,2905.5,TEMPORARY_DISTURBANCE,STABLE,2,2835.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,584,2930.5,STABLE,TRANSITION,2,2910.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,618,3100.5,TRANSITION,TEMPORARY_DISTURBANCE,2,2910.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,624,3130.5,TEMPORARY_DISTURBANCE,STABLE,2,2910.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,653,3275.5,STABLE,TRANSITION,2,3255.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,702,3520.5,TRANSITION,NEW_STABLE,3,3255.5,persistent_new_distribution_created,created,3.40353004887626,1.0,0
Exp2,frozen_descriptor_scaler,718,3600.5,NEW_STABLE,STABLE,3,3255.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,724,3630.5,STABLE,TRANSITION,3,3610.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,743,3725.5,TRANSITION,TEMPORARY_DISTURBANCE,3,3610.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,749,3755.5,TEMPORARY_DISTURBANCE,STABLE,3,3610.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,782,3920.5,STABLE,TRANSITION,3,3900.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,926,4640.5,TRANSITION,NEW_STABLE,3,3900.5,persistent_new_distribution_reused,reused,1.1606201830194818,3.0,0
Exp2,frozen_descriptor_scaler,942,4720.5,NEW_STABLE,STABLE,3,3900.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,1022,5120.5,STABLE,TRANSITION,3,5100.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1104,5530.5,TRANSITION,NEW_STABLE,4,5100.5,persistent_new_distribution_created,created,2.9940220951968897,3.0,0
Exp2,frozen_descriptor_scaler,1120,5610.5,NEW_STABLE,STABLE,4,5100.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,1142,5720.5,STABLE,TRANSITION,4,5700.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1178,5900.5,TRANSITION,TEMPORARY_DISTURBANCE,4,5700.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,1184,5930.5,TEMPORARY_DISTURBANCE,STABLE,4,5700.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,1263,6325.5,STABLE,TRANSITION,4,6305.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1363,6825.5,TRANSITION,NEW_STABLE,5,6305.5,persistent_new_distribution_created,created,3.103047552619854,2.0,0
Exp2,frozen_descriptor_scaler,1379,6905.5,NEW_STABLE,STABLE,5,6305.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,1384,6930.5,STABLE,TRANSITION,5,6910.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1531,7665.5,TRANSITION,NEW_STABLE,6,6910.5,persistent_new_distribution_created,created,2.207813313399354,1.0,0
Exp2,frozen_descriptor_scaler,1547,7745.5,NEW_STABLE,STABLE,6,6910.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,1562,7820.5,STABLE,TRANSITION,6,7800.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1583,7925.5,TRANSITION,TEMPORARY_DISTURBANCE,6,7800.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,1589,7955.5,TEMPORARY_DISTURBANCE,STABLE,6,7800.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,1613,8075.5,STABLE,TRANSITION,6,8055.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1638,8200.5,TRANSITION,TEMPORARY_DISTURBANCE,6,8055.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,1644,8230.5,TEMPORARY_DISTURBANCE,STABLE,6,8055.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,1682,8420.5,STABLE,TRANSITION,6,8400.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1717,8595.5,TRANSITION,TEMPORARY_DISTURBANCE,6,8400.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,1723,8625.5,TEMPORARY_DISTURBANCE,STABLE,6,8400.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,1744,8730.5,STABLE,TRANSITION,6,8710.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1757,8795.5,TRANSITION,TEMPORARY_DISTURBANCE,6,8710.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,1763,8825.5,TEMPORARY_DISTURBANCE,STABLE,6,8710.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,1912,9570.5,STABLE,TRANSITION,6,9550.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,1937,9695.5,TRANSITION,TEMPORARY_DISTURBANCE,6,9550.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,1943,9725.5,TEMPORARY_DISTURBANCE,STABLE,6,9550.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,1972,9870.5,STABLE,TRANSITION,6,9850.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2002,10020.5,TRANSITION,TEMPORARY_DISTURBANCE,6,9850.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,2008,10050.5,TEMPORARY_DISTURBANCE,STABLE,6,9850.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,2042,10220.5,STABLE,TRANSITION,6,10200.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2076,10390.5,TRANSITION,TEMPORARY_DISTURBANCE,6,10200.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,2082,10420.5,TEMPORARY_DISTURBANCE,STABLE,6,10200.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,2102,10520.5,STABLE,TRANSITION,6,10500.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2117,10595.5,TRANSITION,TEMPORARY_DISTURBANCE,6,10500.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,2123,10625.5,TEMPORARY_DISTURBANCE,STABLE,6,10500.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,2162,10820.5,STABLE,TRANSITION,6,10800.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2177,10895.5,TRANSITION,TEMPORARY_DISTURBANCE,6,10800.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,2183,10925.5,TEMPORARY_DISTURBANCE,STABLE,6,10800.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,2223,11125.5,STABLE,TRANSITION,6,11105.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2397,11995.5,TRANSITION,NEW_STABLE,7,11105.5,persistent_new_distribution_created,created,5.669991805614726,3.0,0
Exp2,frozen_descriptor_scaler,2413,12075.5,NEW_STABLE,STABLE,7,11105.5,new_state_confirmed,,,,0
Exp2,frozen_descriptor_scaler,2523,12625.5,STABLE,TRANSITION,7,12605.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2562,12820.5,TRANSITION,TEMPORARY_DISTURBANCE,7,12605.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,2568,12850.5,TEMPORARY_DISTURBANCE,STABLE,7,12605.5,temporary_disturbance_recovered,,,,0
Exp2,frozen_descriptor_scaler,2643,13225.5,STABLE,TRANSITION,7,13205.5,persistent_change_evidence,,,,0
Exp2,frozen_descriptor_scaler,2657,13295.5,TRANSITION,TEMPORARY_DISTURBANCE,7,13205.5,short_change_returned_to_anchor,,,,0
Exp2,frozen_descriptor_scaler,2663,13325.5,TEMPORARY_DISTURBANCE,STABLE,7,13205.5,temporary_disturbance_recovered,,,,0
