dataset,input_index,cycle,from_state,to_state,local_state_id,state_start_cycle,reason
Exp1,8309,41555.5,TEMPORARY_DISTURBANCE,STABLE,7,41360.5,temporary_disturbance_recovered
Exp1,8326,41640.5,STABLE,TRANSITION,7,41620.5,persistent_change_evidence
Exp1,8353,41775.5,TRANSITION,NEW_STABLE,8,41620.5,persistent_new_distribution_with_fast_recovery
Exp1,8369,41855.5,NEW_STABLE,STABLE,8,41620.5,new_state_confirmed
Exp2,68,350.5,STABLE,TRANSITION,1,330.5,persistent_change_evidence
Exp2,77,395.5,TRANSITION,TEMPORARY_DISTURBANCE,1,330.5,short_change_returned_to_anchor
Exp2,83,425.5,TEMPORARY_DISTURBANCE,STABLE,1,330.5,temporary_disturbance_recovered
Exp2,123,625.5,STABLE,TRANSITION,1,605.5,persistent_change_evidence
Exp2,166,840.5,TRANSITION,NEW_STABLE,2,605.5,persistent_new_distribution_with_fast_recovery
Exp2,182,920.5,NEW_STABLE,STABLE,2,605.5,new_state_confirmed
Exp2,187,945.5,STABLE,TRANSITION,2,925.5,persistent_change_evidence
Exp2,204,1030.5,TRANSITION,TEMPORARY_DISTURBANCE,2,925.5,short_change_returned_to_anchor
Exp2,210,1060.5,TEMPORARY_DISTURBANCE,STABLE,2,925.5,temporary_disturbance_recovered
Exp2,242,1220.5,STABLE,TRANSITION,2,1200.5,persistent_change_evidence
Exp2,258,1300.5,TRANSITION,TEMPORARY_DISTURBANCE,2,1200.5,short_change_returned_to_anchor
Exp2,264,1330.5,TEMPORARY_DISTURBANCE,STABLE,2,1200.5,temporary_disturbance_recovered
Exp2,302,1520.5,STABLE,TRANSITION,2,1500.5,persistent_change_evidence
Exp2,322,1620.5,TRANSITION,TEMPORARY_DISTURBANCE,2,1500.5,short_change_returned_to_anchor
Exp2,328,1650.5,TEMPORARY_DISTURBANCE,STABLE,2,1500.5,temporary_disturbance_recovered
Exp2,362,1820.5,STABLE,TRANSITION,2,1800.5,persistent_change_evidence
Exp2,378,1900.5,TRANSITION,TEMPORARY_DISTURBANCE,2,1800.5,short_change_returned_to_anchor
Exp2,384,1930.5,TEMPORARY_DISTURBANCE,STABLE,2,1800.5,temporary_disturbance_recovered
Exp2,423,2125.5,STABLE,TRANSITION,2,2105.5,persistent_change_evidence
Exp2,505,2535.5,TRANSITION,NEW_STABLE,3,2105.5,persistent_new_distribution_with_fast_recovery
Exp2,521,2615.5,NEW_STABLE,STABLE,3,2105.5,new_state_confirmed
Exp2,543,2725.5,STABLE,TRANSITION,3,2705.5,persistent_change_evidence
Exp2,558,2800.5,TRANSITION,TEMPORARY_DISTURBANCE,3,2705.5,short_change_returned_to_anchor
Exp2,564,2830.5,TEMPORARY_DISTURBANCE,STABLE,3,2705.5,temporary_disturbance_recovered
Exp2,602,3020.5,STABLE,TRANSITION,3,3000.5,persistent_change_evidence
Exp2,692,3470.5,TRANSITION,NEW_STABLE,4,3000.5,persistent_new_distribution_with_fast_recovery
Exp2,708,3550.5,NEW_STABLE,STABLE,4,3000.5,new_state_confirmed
Exp2,724,3630.5,STABLE,TRANSITION,4,3610.5,persistent_change_evidence
Exp2,743,3725.5,TRANSITION,TEMPORARY_DISTURBANCE,4,3610.5,short_change_returned_to_anchor
Exp2,749,3755.5,TEMPORARY_DISTURBANCE,STABLE,4,3610.5,temporary_disturbance_recovered
Exp2,782,3920.5,STABLE,TRANSITION,4,3900.5,persistent_change_evidence
Exp2,926,4640.5,TRANSITION,NEW_STABLE,5,3900.5,persistent_new_distribution_with_fast_recovery
Exp2,942,4720.5,NEW_STABLE,STABLE,5,3900.5,new_state_confirmed
Exp2,1022,5120.5,STABLE,TRANSITION,5,5100.5,persistent_change_evidence
Exp2,1104,5530.5,TRANSITION,NEW_STABLE,6,5100.5,persistent_new_distribution_with_fast_recovery
Exp2,1120,5610.5,NEW_STABLE,STABLE,6,5100.5,new_state_confirmed
Exp2,1142,5720.5,STABLE,TRANSITION,6,5700.5,persistent_change_evidence
Exp2,1178,5900.5,TRANSITION,TEMPORARY_DISTURBANCE,6,5700.5,short_change_returned_to_anchor
Exp2,1184,5930.5,TEMPORARY_DISTURBANCE,STABLE,6,5700.5,temporary_disturbance_recovered
Exp2,1263,6325.5,STABLE,TRANSITION,6,6305.5,persistent_change_evidence
Exp2,1363,6825.5,TRANSITION,NEW_STABLE,7,6305.5,persistent_new_distribution_with_fast_recovery
Exp2,1379,6905.5,NEW_STABLE,STABLE,7,6305.5,new_state_confirmed
Exp2,1384,6930.5,STABLE,TRANSITION,7,6910.5,persistent_change_evidence
Exp2,1531,7665.5,TRANSITION,NEW_STABLE,8,6910.5,persistent_new_distribution_with_fast_recovery
Exp2,1547,7745.5,NEW_STABLE,STABLE,8,6910.5,new_state_confirmed
Exp2,1562,7820.5,STABLE,TRANSITION,8,7800.5,persistent_change_evidence
Exp2,1583,7925.5,TRANSITION,TEMPORARY_DISTURBANCE,8,7800.5,short_change_returned_to_anchor
Exp2,1589,7955.5,TEMPORARY_DISTURBANCE,STABLE,8,7800.5,temporary_disturbance_recovered
Exp2,1613,8075.5,STABLE,TRANSITION,8,8055.5,persistent_change_evidence
Exp2,1638,8200.5,TRANSITION,TEMPORARY_DISTURBANCE,8,8055.5,short_change_returned_to_anchor
Exp2,1644,8230.5,TEMPORARY_DISTURBANCE,STABLE,8,8055.5,temporary_disturbance_recovered
Exp2,1682,8420.5,STABLE,TRANSITION,8,8400.5,persistent_change_evidence
Exp2,1717,8595.5,TRANSITION,TEMPORARY_DISTURBANCE,8,8400.5,short_change_returned_to_anchor
Exp2,1723,8625.5,TEMPORARY_DISTURBANCE,STABLE,8,8400.5,temporary_disturbance_recovered
Exp2,1744,8730.5,STABLE,TRANSITION,8,8710.5,persistent_change_evidence
Exp2,1757,8795.5,TRANSITION,TEMPORARY_DISTURBANCE,8,8710.5,short_change_returned_to_anchor
Exp2,1763,8825.5,TEMPORARY_DISTURBANCE,STABLE,8,8710.5,temporary_disturbance_recovered
Exp2,1912,9570.5,STABLE,TRANSITION,8,9550.5,persistent_change_evidence
Exp2,2316,11590.5,TRANSITION,NEW_STABLE,9,9550.5,persistent_new_distribution_with_fast_recovery
Exp2,2332,11670.5,NEW_STABLE,STABLE,9,9550.5,new_state_confirmed
Exp2,2342,11720.5,STABLE,TRANSITION,9,11700.5,persistent_change_evidence
Exp2,2397,11995.5,TRANSITION,NEW_STABLE,10,11700.5,persistent_new_distribution_with_fast_recovery
Exp2,2413,12075.5,NEW_STABLE,STABLE,10,11700.5,new_state_confirmed
Exp2,2523,12625.5,STABLE,TRANSITION,10,12605.5,persistent_change_evidence
Exp2,2562,12820.5,TRANSITION,TEMPORARY_DISTURBANCE,10,12605.5,short_change_returned_to_anchor
Exp2,2568,12850.5,TEMPORARY_DISTURBANCE,STABLE,10,12605.5,temporary_disturbance_recovered
Exp2,2643,13225.5,STABLE,TRANSITION,10,13205.5,persistent_change_evidence
Exp2,2657,13295.5,TRANSITION,TEMPORARY_DISTURBANCE,10,13205.5,short_change_returned_to_anchor
Exp2,2663,13325.5,TEMPORARY_DISTURBANCE,STABLE,10,13205.5,temporary_disturbance_recovered
