window_index,center_cycle,adapter_updated,adapter_update_reason,adapter_rollback,rollback_reason,adapter_learning_rate,beta_norm,beta_change_norm,direction_id
26,140.5,1,UPDATED,0,,0.002,0.0101273263571403,0.001358967907277,Exp1_to_Exp2
27,145.5,1,UPDATED,0,,0.002,0.0114382484036371,0.0013622628351507,Exp1_to_Exp2
28,150.5,1,UPDATED,0,,0.002,0.0127328364660225,0.001347456646568,Exp1_to_Exp2
29,155.5,1,UPDATED,0,,0.002,0.0140714671744986,0.0013880247789798,Exp1_to_Exp2
30,160.5,1,UPDATED,0,,0.002,0.0154073446506498,0.0013843195521573,Exp1_to_Exp2
31,165.5,1,UPDATED,0,,0.002,0.0167377492951257,0.001376311372719,Exp1_to_Exp2
32,170.5,1,UPDATED,0,,0.002,0.0180715221978483,0.0013870389720275,Exp1_to_Exp2
33,175.5,1,UPDATED,0,,0.002,0.0193633756769422,0.0013633836614711,Exp1_to_Exp2
34,180.5,1,UPDATED,0,,0.002,0.0206580197995584,0.0013800559567022,Exp1_to_Exp2
35,185.5,1,UPDATED,0,,0.002,0.021935304629473,0.0013843474617686,Exp1_to_Exp2
36,190.5,1,UPDATED,0,,0.002,0.0232035831358386,0.0013797556438906,Exp1_to_Exp2
37,195.5,1,UPDATED,0,,0.002,0.0244923086252926,0.0013809605736592,Exp1_to_Exp2
38,200.5,1,UPDATED,0,,0.002,0.0257756332173375,0.0013631328677186,Exp1_to_Exp2
39,205.5,1,UPDATED,0,,0.002,0.0270427400426829,0.0013515663888781,Exp1_to_Exp2
40,210.5,1,UPDATED,0,,0.002,0.0283176089634557,0.0014132380732814,Exp1_to_Exp2
41,215.5,1,UPDATED,0,,0.002,0.0295782922819182,0.0014679191083239,Exp1_to_Exp2
42,220.5,1,UPDATED,0,,0.002,0.0308319021748117,0.0015426440692728,Exp1_to_Exp2
43,225.5,1,UPDATED,0,,0.002,0.0320963931286127,0.0016165693331491,Exp1_to_Exp2
44,230.5,1,UPDATED,0,,0.002,0.0333312664945513,0.0016146479016221,Exp1_to_Exp2
45,235.5,1,UPDATED,0,,0.002,0.0345100419374737,0.0016328960288647,Exp1_to_Exp2
46,240.5,1,UPDATED,0,,0.002,0.0356687868467791,0.0016544060028925,Exp1_to_Exp2
47,245.5,1,UPDATED,0,,0.002,0.0368005231128872,0.0016789693314359,Exp1_to_Exp2
48,250.5,1,UPDATED,0,,0.002,0.0379304359139883,0.0016792583104307,Exp1_to_Exp2
49,255.5,1,UPDATED,0,,0.002,0.0390905352661209,0.0016573458082649,Exp1_to_Exp2
50,260.5,1,UPDATED,0,,0.002,0.0402925568043687,0.0016431609928379,Exp1_to_Exp2
51,265.5,1,UPDATED,0,,0.002,0.0415606289491992,0.0016515232768645,Exp1_to_Exp2
52,270.5,1,UPDATED,0,,0.002,0.0428358965707907,0.0016625080120212,Exp1_to_Exp2
53,275.5,1,UPDATED,0,,0.002,0.0441302397331784,0.0016669508204478,Exp1_to_Exp2
54,280.5,1,UPDATED,0,,0.002,0.0454661631735752,0.0016458136557687,Exp1_to_Exp2
55,285.5,1,UPDATED,0,,0.002,0.0468255919833499,0.001600068214107,Exp1_to_Exp2
56,290.5,1,UPDATED,0,,0.002,0.0482589821525816,0.0015818083876328,Exp1_to_Exp2
57,295.5,1,UPDATED,0,,0.002,0.0485864795458023,0.0006305480001175,Exp1_to_Exp2
58,300.5,1,UPDATED,0,,0.002,0.0478365682678308,0.0010208195941025,Exp1_to_Exp2
59,305.5,1,UPDATED,0,,0.002,0.0460454376503176,0.0020435848795872,Exp1_to_Exp2
60,310.5,0,HIGH_TES,0,,0.002,0.0460454376503176,0.0,Exp1_to_Exp2
61,315.5,1,UPDATED,0,,0.002,0.0434537381346495,0.0030298312459647,Exp1_to_Exp2
62,320.5,1,UPDATED,0,,0.002,0.0410186159544024,0.0029399331785685,Exp1_to_Exp2
63,325.5,1,UPDATED,0,,0.002,0.0388671147865094,0.002738829266932,Exp1_to_Exp2
64,330.5,1,UPDATED,0,,0.002,0.0368211160900327,0.0026861511742142,Exp1_to_Exp2
65,335.5,1,UPDATED,0,,0.002,0.0348430289563079,0.0026910183606608,Exp1_to_Exp2
66,340.5,0,HIGH_TES,0,,0.002,0.0348430289563079,0.0,Exp1_to_Exp2
67,345.5,0,HIGH_TES,0,,0.002,0.0348430289563079,0.0,Exp1_to_Exp2
68,350.5,0,HIGH_TES,0,,0.002,0.0348430289563079,0.0,Exp1_to_Exp2
69,355.5,0,HIGH_TES,0,,0.002,0.0348430289563079,0.0,Exp1_to_Exp2
70,360.5,1,UPDATED,0,,0.002,0.032875002487007,0.0030803479002772,Exp1_to_Exp2
71,365.5,1,UPDATED,0,,0.002,0.0312365913176578,0.0029417240739408,Exp1_to_Exp2
72,370.5,1,UPDATED,0,,0.002,0.0298982225511727,0.0028474176600413,Exp1_to_Exp2
73,375.5,1,UPDATED,0,,0.002,0.0289397275016948,0.0026401888247951,Exp1_to_Exp2
74,380.5,1,UPDATED,0,,0.002,0.0283329583481303,0.0025022724441935,Exp1_to_Exp2
75,385.5,1,UPDATED,0,,0.002,0.0280454823498817,0.0024137420488937,Exp1_to_Exp2
76,390.5,1,UPDATED,0,,0.002,0.0280081945486176,0.002381267147625,Exp1_to_Exp2
77,395.5,1,UPDATED,0,,0.002,0.0281497833824936,0.0024804337308134,Exp1_to_Exp2
78,400.5,1,UPDATED,0,,0.002,0.0285485616008946,0.0024612318388692,Exp1_to_Exp2
79,405.5,1,UPDATED,0,,0.002,0.0291959383851938,0.0024209882160369,Exp1_to_Exp2
80,410.5,1,UPDATED,0,,0.002,0.0300757623194676,0.0023201050524429,Exp1_to_Exp2
81,415.5,1,UPDATED,0,,0.002,0.0311254709806734,0.0022578964386319,Exp1_to_Exp2
82,420.5,1,UPDATED,0,,0.002,0.0323115716479958,0.002187041052432,Exp1_to_Exp2
83,425.5,1,UPDATED,0,,0.002,0.0336004339548262,0.0021698021355222,Exp1_to_Exp2
84,430.5,1,UPDATED,0,,0.002,0.035016258688328,0.0021934410306112,Exp1_to_Exp2
85,435.5,1,UPDATED,0,,0.002,0.0365773218467976,0.0021891087265504,Exp1_to_Exp2
86,440.5,1,UPDATED,0,,0.002,0.0382335384769366,0.0021879550654045,Exp1_to_Exp2
87,445.5,1,UPDATED,0,,0.002,0.0399853237575133,0.0022130087556412,Exp1_to_Exp2
88,450.5,1,UPDATED,0,,0.002,0.0417957564961117,0.0022232356207303,Exp1_to_Exp2
89,455.5,1,UPDATED,0,,0.002,0.0436447149872848,0.0023849958076034,Exp1_to_Exp2
90,460.5,1,UPDATED,0,,0.002,0.0455744381920427,0.0024990766780464,Exp1_to_Exp2
91,465.5,1,UPDATED,0,,0.002,0.0475581612217899,0.0024731916882157,Exp1_to_Exp2
92,470.5,1,UPDATED,0,,0.002,0.0495973924039906,0.0024678385863945,Exp1_to_Exp2
93,475.5,1,UPDATED,0,,0.002,0.0516546635803614,0.0022927944685012,Exp1_to_Exp2
94,480.5,1,UPDATED,0,,0.002,0.0536700274809317,0.0021848733214017,Exp1_to_Exp2
95,485.5,1,UPDATED,0,,0.002,0.0556514672370438,0.0021451380912121,Exp1_to_Exp2
96,490.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
97,495.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
98,500.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
99,505.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
100,510.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
101,515.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
102,520.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
103,525.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
104,530.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
105,535.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
106,540.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
107,545.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
108,550.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
109,555.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
110,560.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
111,565.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
112,570.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
113,575.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
114,580.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
115,585.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
116,590.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
117,595.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
118,600.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
119,605.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
120,610.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
121,615.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
122,620.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
123,625.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
124,630.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
125,635.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
126,640.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
127,645.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
128,650.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
129,655.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
130,660.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
131,665.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
132,670.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
133,675.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
134,680.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
135,685.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
136,690.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
137,695.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
138,700.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
139,705.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
140,710.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
141,715.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
142,720.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
143,725.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
144,730.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
145,735.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
146,740.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
147,745.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
148,750.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
149,755.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
150,760.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
151,765.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
152,770.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
153,775.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
154,780.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
155,785.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
156,790.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
157,795.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
158,800.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
159,805.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
160,810.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
161,815.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
162,820.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
163,825.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
164,830.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
165,835.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
166,840.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
167,845.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
168,850.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
169,855.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
170,860.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
171,865.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
172,870.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
173,875.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
174,880.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
175,885.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
176,890.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
177,895.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
178,900.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
179,905.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
180,910.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
181,915.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
182,920.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
183,925.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
184,930.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
185,935.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
186,940.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
187,945.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
188,950.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
189,955.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
190,960.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
191,965.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
192,970.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
193,975.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
194,980.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
195,985.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
196,990.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
197,995.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
198,1000.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
199,1005.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
200,1010.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
201,1015.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
202,1020.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
203,1025.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
204,1030.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
205,1035.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
206,1040.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
207,1045.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
208,1050.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
209,1055.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
210,1060.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
211,1065.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
212,1070.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
213,1075.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
214,1080.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
215,1085.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
216,1090.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
217,1095.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
218,1100.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
219,1105.5,0,RESTART_GUARD,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
220,1110.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
221,1115.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
222,1120.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
223,1125.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
224,1130.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
225,1135.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
226,1140.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
227,1145.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
228,1150.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
229,1155.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
230,1160.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
231,1165.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
232,1170.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
233,1175.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
234,1180.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
235,1185.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
236,1190.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
237,1195.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
238,1200.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
239,1205.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
240,1210.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
241,1215.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
242,1220.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
243,1225.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
244,1230.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
245,1235.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
246,1240.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
247,1245.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
248,1250.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
249,1255.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
250,1260.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
251,1265.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
252,1270.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
253,1275.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
254,1280.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
255,1285.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
256,1290.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
257,1295.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
258,1300.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
259,1305.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
260,1310.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
261,1315.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
262,1320.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
263,1325.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
264,1330.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
265,1335.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
266,1340.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
267,1345.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
268,1350.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
269,1355.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
270,1360.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
271,1365.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
272,1370.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
273,1375.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
274,1380.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
275,1385.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
276,1390.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
277,1395.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
278,1400.5,0,HIGH_OOS,0,,0.002,0.0556514672370438,0.0,Exp1_to_Exp2
