protocol_id,target_dataset,event,evidence_type,cycle,run_cycles
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,7855.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,8160.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,8965.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,15485.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,16375.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,21245.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,21300.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,21360.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,22300.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,directed_change_evidence,23935.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,directed_change_evidence,24125.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,acceleration_evidence,27935.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,27935.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,directed_change_evidence,27945.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,acceleration_evidence,27985.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,directed_change_evidence,28130.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,28140.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,28200.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,29180.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,directed_change_evidence,34705.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,34705.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,directed_change_evidence,34845.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,34855.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,34860.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,35740.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,39355.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,41115.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,41675.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,41975.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,42255.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,42920.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,45230.5,100.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,abrupt_change_evidence,45290.5,0.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_offset,low_activity_evidence,45345.5,0.0
